twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,12051150,13.48,,13.47,,2017-09-12,,-1.11,0,2,2017-11-14T12:32:25-06:00,0,13.4,1.9,2017-09-13,2017-11-14T13:15:45-06:00,500200,-42.96,24.88,13.3,0.26,,HPE,,13.33,BATS,2017-02-22,13.32,0,2017-11-13,12.97,,1619460,13.33,30000,.,400,412440,10476512,Hewlett Packard Enterprise Comp,,i,D,13.48,-0.15
2016-11-14,12051886,13.48,,13.47,,2017-09-12,,-1.11,0,2,2017-11-14T12:33:04-06:00,0,13.4,1.9,2017-09-13,2017-11-14T13:15:45-06:00,540200,-42.87,24.88,13.3,0.26,,HPE,,13.33,BATS,2017-02-22,13.32,0,2017-11-13,12.97,,1619460,13.33,30000,.,400,412440,10484597,Hewlett Packard Enterprise Comp,,i,D,13.48,-0.15
2016-11-14,12051886,13.48,,13.47,,2017-09-12,,-1.11,0,2,2017-11-14T12:33:04-06:00,0,13.4,1.9,2017-09-13,2017-11-14T13:15:45-06:00,540200,-42.87,24.88,13.3,0.26,,HPE,,13.33,BATS,2017-02-22,13.32,0,2017-11-13,12.97,,1619460,13.33,30000,.,400,412440,10484597,Hewlett Packard Enterprise Comp,,i,D,13.48,-0.15
2016-11-14,12051886,13.48,,13.47,,2017-09-12,,-1.11,0,2,2017-11-14T12:34:15-06:00,0,13.4,1.9,2017-09-13,2017-11-14T13:15:45-06:00,440200,-42.87,24.88,13.3,0.26,,HPE,,13.33,BATS,2017-02-22,13.32,0,2017-11-13,12.97,,1619460,13.33,400000,.,400,412440,10484597,Hewlett Packard Enterprise Comp,,i,D,13.48,-0.15
2016-11-14,12051886,13.48,,13.47,,2017-09-12,,-1.11,0,2,2017-11-14T12:34:40-06:00,0,13.4,1.9,2017-09-13,2017-11-14T13:15:45-06:00,470200,-42.87,24.88,13.3,0.26,,HPE,,13.33,BATS,2017-02-22,13.32,0,2017-11-13,12.97,,1619460,13.33,430000,.,400,412440,10484597,Hewlett Packard Enterprise Comp,,i,D,13.48,-0.15
2016-11-14,12051886,13.48,,13.47,,2017-09-12,,-1.11,0,2,2017-11-14T12:35:07-06:00,0,13.4,1.9,2017-09-13,2017-11-14T13:15:45-06:00,470200,-42.87,24.88,13.3,0.26,,HPE,,13.33,BATS,2017-02-22,13.32,0,2017-11-13,12.97,,1619460,13.33,410000,.,400,412440,10484597,Hewlett Packard Enterprise Comp,,i,D,13.48,-0.15
2016-11-14,12051886,13.48,,13.47,,2017-09-12,,-1.11,0,2,2017-11-14T12:35:34-06:00,0,13.4,1.9,2017-09-13,2017-11-14T13:15:45-06:00,480200,-42.87,24.88,13.3,0.26,,HPE,,13.33,BATS,2017-02-22,13.32,0,2017-11-13,12.97,,1619460,13.33,420000,.,400,412440,10484597,Hewlett Packard Enterprise Comp,,i,D,13.48,-0.15
2016-11-14,12051886,13.48,,13.47,,2017-09-12,,-1.11,0,2,2017-11-14T12:36:01-06:00,0,13.4,1.9,2017-09-13,2017-11-14T13:15:45-06:00,500200,-42.87,24.88,13.3,0.26,,HPE,,13.33,BATS,2017-02-22,13.32,0,2017-11-13,12.97,,1619460,13.33,440000,.,400,412440,10484597,Hewlett Packard Enterprise Comp,,i,D,13.48,-0.15
2016-11-14,12051886,13.48,,13.47,,2017-09-12,,-1.19,0,2,2017-11-14T12:36:38-06:00,0,13.4,1.9,2017-09-13,2017-11-14T13:21:19-06:00,500000,-42.87,24.88,13.3,0.26,,HPE,,13.32,BATS,2017-02-22,13.32,0,2017-11-13,12.97,,1619460,13.33,450000,-,100,412540,10484597,Hewlett Packard Enterprise Comp,,i,D,13.48,-0.16
2016-11-14,12051886,13.48,,13.47,,2017-09-12,,-1.11,0,2,2017-11-14T12:37:02-06:00,0,13.4,1.9,2017-09-13,2017-11-14T13:21:47-06:00,200000,-42.87,24.88,13.3,0.26,,HPE,,13.33,BATS,2017-02-22,13.33,0,2017-11-13,12.97,,1619460,13.34,720000,.,100,417540,10484597,Hewlett Packard Enterprise Comp,,i,D,13.48,-0.15
