twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,3079201,31.19,,31.13,,,,-1.15,0,2,2017-11-13T12:17:43-06:00,0,30.78,0,2017-11-08,2017-11-13T13:02:32-06:00,10000,-39.54,53.58,30.44,0,,TRIP,,30.83,BATS,2017-01-17,30.8,0,2017-11-10,29.79,,138750,30.85,20000,.,100,136950,5041105,Tripadvisor Inc,,i,C,31.19,-0.36
2016-11-11,3079201,31.19,,31.13,,,,-1.09,0,2,2017-11-13T12:18:01-06:00,0,30.78,0,2017-11-08,2017-11-13T13:02:47-06:00,2900,-39.54,53.58,30.44,0,,TRIP,,30.85,BATS,2017-01-17,30.82,0,2017-11-10,29.79,,138750,30.84,10000,+,27,136977,5041105,Tripadvisor Inc,,i,C,31.19,-0.34
2016-11-11,3079201,31.19,,31.13,,,,-1.15,0,2,2017-11-13T12:18:38-06:00,0,30.78,0,2017-11-08,2017-11-13T13:03:17-06:00,10000,-39.54,53.58,30.44,0,,TRIP,,30.83,BATS,2017-01-17,30.82,0,2017-11-10,29.79,,138750,30.84,10000,.,71,137148,5041105,Tripadvisor Inc,,i,C,31.19,-0.36
2016-11-11,3079692,31.19,,31.13,,,,-1.12,0,2,2017-11-13T12:19:15-06:00,0,30.78,0,2017-11-08,2017-11-13T13:04:08-06:00,20000,-39.58,53.58,30.44,0,,TRIP,,30.84,BATS,2017-01-17,30.83,0,2017-11-10,29.79,,138750,30.85,20000,.,100,137848,5046485,Tripadvisor Inc,,i,C,31.19,-0.35
2016-11-11,3079692,31.19,,31.13,,,,-1.12,0,2,2017-11-13T12:20:10-06:00,0,30.78,0,2017-11-08,2017-11-13T13:04:26-06:00,10000,-39.58,53.58,30.44,0,,TRIP,,30.84,BATS,2017-01-17,30.8,0,2017-11-10,29.79,,138750,30.84,20000,+,23,138071,5046485,Tripadvisor Inc,,i,C,31.19,-0.35
2016-11-11,3079692,31.19,,31.13,,,,-1.12,0,2,2017-11-13T12:20:36-06:00,0,30.78,0,2017-11-08,2017-11-13T13:04:26-06:00,10000,-39.58,53.58,30.44,0,,TRIP,,30.84,BATS,2017-01-17,30.8,0,2017-11-10,29.79,,138750,30.84,20000,+,23,138071,5046485,Tripadvisor Inc,,i,C,31.19,-0.35
2016-11-11,3079692,31.19,,31.13,,,,-1.15,0,2,2017-11-13T12:21:03-06:00,0,30.78,0,2017-11-08,2017-11-13T13:05:53-06:00,10000,-39.58,53.58,30.44,0,,TRIP,,30.83,BATS,2017-01-17,30.8,0,2017-11-10,29.79,,138750,30.86,20000,+,100,138271,5046485,Tripadvisor Inc,,i,C,31.19,-0.36
2016-11-11,3079692,31.19,,31.13,,,,-1.15,0,2,2017-11-13T12:21:36-06:00,0,30.78,0,2017-11-08,2017-11-13T13:05:53-06:00,20000,-39.58,53.58,30.44,0,,TRIP,,30.83,BATS,2017-01-17,30.83,0,2017-11-10,29.79,,138750,30.85,2600,+,100,138271,5046485,Tripadvisor Inc,,i,C,31.19,-0.36
2016-11-11,3079692,31.19,,31.13,,,,-1.15,0,2,2017-11-13T12:22:07-06:00,0,30.78,0,2017-11-08,2017-11-13T13:05:53-06:00,40000,-39.58,53.58,30.44,0,,TRIP,,30.83,BATS,2017-01-17,30.83,0,2017-11-10,29.79,,138750,30.85,12600,+,100,138271,5046485,Tripadvisor Inc,,i,C,31.19,-0.36
2016-11-11,3079692,31.19,,31.13,,,,-1.12,0,2,2017-11-13T12:22:30-06:00,0,30.78,0,2017-11-08,2017-11-13T13:07:16-06:00,20000,-39.58,53.58,30.44,0,,TRIP,,30.84,BATS,2017-01-17,30.84,0,2017-11-10,29.79,,138750,30.85,20000,.,10,138381,5046485,Tripadvisor Inc,,i,C,31.19,-0.35
2016-11-11,3079692,31.19,,31.13,,,,-1.19,0,2,2017-11-13T12:22:58-06:00,0,30.78,0,2017-11-08,2017-11-13T13:07:55-06:00,20000,-39.58,53.58,30.44,0,,TRIP,,30.82,BATS,2017-01-17,30.81,0,2017-11-10,29.79,,138750,30.83,10000,+,100,140633,5046485,Tripadvisor Inc,,i,C,31.19,-0.37
2016-11-11,3079692,31.19,,31.13,,,,-1.19,0,2,2017-11-13T12:23:20-06:00,0,30.78,0,2017-11-08,2017-11-13T13:08:15-06:00,10000,-39.58,53.58,30.44,0,,TRIP,,30.82,BATS,2017-01-17,30.81,0,2017-11-10,29.79,,138750,30.82,10000,+,100,141233,5046485,Tripadvisor Inc,,i,C,31.19,-0.37
2016-11-11,3079692,31.19,,31.13,,,,-1.19,0,2,2017-11-13T12:23:20-06:00,0,30.78,0,2017-11-08,2017-11-13T13:08:15-06:00,10000,-39.58,53.58,30.44,0,,TRIP,,30.82,BATS,2017-01-17,30.81,0,2017-11-10,29.79,,138750,30.82,10000,+,100,141233,5046485,Tripadvisor Inc,,i,C,31.19,-0.37
2016-11-11,3079692,31.19,,31.13,,,,-1.19,0,2,2017-11-13T12:24:17-06:00,0,30.78,0,2017-11-08,2017-11-13T13:08:15-06:00,30000,-39.58,53.58,30.44,0,,TRIP,,30.82,BATS,2017-01-17,30.81,0,2017-11-10,29.79,,138750,30.82,30000,+,100,141233,5046485,Tripadvisor Inc,,i,C,31.19,-0.37
2016-11-11,3079692,31.19,,31.13,,,,-1.12,0,2,2017-11-13T12:24:50-06:00,0,30.78,0,2017-11-08,2017-11-13T13:09:50-06:00,10000,-39.58,53.58,30.44,0,,TRIP,,30.84,BATS,2017-01-17,30.82,0,2017-11-10,29.79,,138750,30.85,10000,+,100,141833,5046485,Tripadvisor Inc,,i,C,31.19,-0.35
2016-11-11,3079692,31.19,,31.13,,,,-1.12,0,2,2017-11-13T12:25:11-06:00,0,30.78,0,2017-11-08,2017-11-13T13:10:11-06:00,10000,-39.58,53.58,30.44,0,,TRIP,,30.84,BATS,2017-01-17,30.83,0,2017-11-10,29.79,,138750,30.84,10000,.,75,141933,5046485,Tripadvisor Inc,,i,C,31.19,-0.35
2016-11-11,3079692,31.19,,31.13,,,,-1.12,0,2,2017-11-13T12:25:42-06:00,0,30.78,0,2017-11-08,2017-11-13T13:10:41-06:00,40000,-39.58,53.58,30.44,0,,TRIP,,30.84,BATS,2017-01-17,30.83,0,2017-11-10,29.79,,138750,30.85,10000,.,100,142033,5046485,Tripadvisor Inc,,i,C,31.19,-0.35
2016-11-11,3079692,31.19,,31.13,,,,-1.15,0,2,2017-11-13T12:26:34-06:00,0,30.78,0,2017-11-08,2017-11-13T13:11:29-06:00,20000,-39.58,53.58,30.44,0,,TRIP,,30.83,BATS,2017-01-17,30.8,0,2017-11-10,29.79,,138750,30.85,10000,.,37,142233,5046485,Tripadvisor Inc,,i,C,31.19,-0.36
2016-11-11,3079692,31.19,,31.13,,,,-1.15,0,2,2017-11-13T12:27:06-06:00,0,30.78,0,2017-11-08,2017-11-13T13:11:29-06:00,30000,-39.58,53.58,30.44,0,,TRIP,,30.83,BATS,2017-01-17,30.8,0,2017-11-10,29.79,,138750,30.85,10000,.,37,142233,5046485,Tripadvisor Inc,,i,C,31.19,-0.36
2016-11-11,3079692,31.19,,31.13,,,,-1.12,0,2,2017-11-13T12:27:22-06:00,0,30.78,0,2017-11-08,2017-11-13T13:12:21-06:00,8400,-39.58,53.58,30.44,0,,TRIP,,30.84,BATS,2017-01-17,30.82,0,2017-11-10,29.79,,138750,30.85,10000,-,100,143733,5046485,Tripadvisor Inc,,i,C,31.19,-0.35
2016-11-11,3079692,31.19,,31.13,,,,-1.12,0,2,2017-11-13T12:27:22-06:00,0,30.78,0,2017-11-08,2017-11-13T13:12:21-06:00,8400,-39.58,53.58,30.44,0,,TRIP,,30.84,BATS,2017-01-17,30.82,0,2017-11-10,29.79,,138750,30.85,10000,-,100,143733,5046485,Tripadvisor Inc,,i,C,31.19,-0.35
